Fecha,Precip,Evap,Tmax,Tmin
2025-01-01,0.0,1.08,29.5,11.0
2025-01-02,0.0,1.4,31.0,12.0
2025-01-03,0.0,0.97,30.0,13.0
2025-01-04,0.0,1.37,30.0,14.0
2025-01-05,0.0,1.67,30.0,13.0
2025-01-06,0.0,2.09,29.0,13.0
2025-01-07,0.0,2.2,29.0,13.0
2025-01-08,5.5,2.44,26.0,12.5
2025-01-09,0.0,0.91,24.0,14.0
2025-01-10,0.0,1.55,23.0,10.0
2025-01-11,0.0,0.4,25.0,9.0
2025-01-12,0.0,1.91,25.0,10.0
2025-01-13,0.0,1.59,28.0,10.0
2025-01-14,0.0,2.3,30.5,10.0
2025-01-15,0.0,1.86,28.0,13.0
2025-01-16,0.0,3.14,29.0,14.0
2025-01-17,0.0,2.3,24.0,15.0
2025-01-18,0.0,2.64,27.0,13.0
2025-01-19,0.0,2.26,27.5,10.0
2025-01-20,0.0,2.74,29.0,10.0
2025-01-21,0.0,3.7,26.0,10.0
2025-01-22,0.0,1.8,30.0,12.0
2025-01-23,0.0,1.8,29.0,11.0
2025-01-24,0.0,2.8,32.0,13.0
2025-01-25,0.0,3.57,30.0,12.5
2025-01-26,0.0,3.25,32.0,12.5
2025-01-27,0.0,2.78,31.0,14.0
2025-01-28,0.0,2.66,28.0,13.5
2025-01-29,0.0,2.44,27.0,13.0
2025-01-30,0.0,3.9,29.0,9.0
2025-01-31,0.0,,29.5,8.0
2025-02-01,0.0,1.41,30.0,8.0
2025-02-02,0.0,1.71,32.0,8.0
2025-02-03,0.0,3.33,33.5,8.0
2025-02-04,0.0,4.11,30.0,11.5
2025-02-05,0.0,1.59,33.0,14.0
2025-02-06,0.0,6.87,34.0,13.5
2025-02-07,0.0,1.33,33.0,14.0
2025-02-08,0.0,5.46,34.0,14.0
2025-02-09,0.0,1.54,32.0,13.0
2025-02-10,0.0,2.0,32.0,14.0
2025-02-11,0.0,4.3,27.0,14.0
2025-02-12,0.0,3.0,29.0,13.0
2025-02-13,0.0,1.7,32.0,13.0
2025-02-14,0.0,3.4,33.0,13.0
2025-02-15,0.0,4.4,33.0,13.0
2025-02-16,0.0,4.85,32.0,12.0
2025-02-17,0.0,1.15,31.0,13.0
2025-02-18,0.0,3.0,33.0,13.0
2025-02-19,0.0,5.2,34.0,13.0
2025-02-20,0.0,6.1,34.0,13.0
2025-02-21,0.0,2.5,33.0,14.0
2025-02-22,0.0,4.95,35.0,13.0
2025-02-23,0.0,5.73,33.0,13.0
2025-02-24,0.0,2.12,34.0,13.0
2025-02-25,0.0,5.1,34.0,13.0
2025-02-26,0.0,3.4,33.0,14.0
2025-02-27,0.0,3.1,33.0,14.0
2025-02-28,0.0,4.88,33.0,15.0
2025-03-01,0.0,4.14,32.0,14.0
2025-03-02,0.0,5.13,34.0,15.0
2025-03-03,0.0,3.25,34.0,13.0
2025-03-04,0.0,5.0,32.5,15.0
2025-03-05,0.0,4.94,35.0,12.0
2025-03-06,0.0,3.86,33.0,15.0
2025-03-07,0.0,4.4,31.0,15.0
2025-03-08,0.0,5.93,30.0,11.0
2025-03-09,0.0,6.41,32.0,10.0
2025-03-10,0.0,4.43,33.0,11.0
2025-03-11,0.0,4.82,34.0,13.0
2025-03-12,0.0,5.26,36.0,13.0
2025-03-13,0.0,4.71,36.0,14.0
2025-03-14,0.0,4.65,29.5,14.0
2025-03-15,0.0,5.1,29.0,12.5
2025-03-16,0.0,5.1,34.0,11.0
2025-03-17,0.0,3.7,35.0,15.0
2025-03-18,0.0,5.66,36.0,13.5
2025-03-19,0.0,6.49,34.0,14.0
2025-03-20,0.0,6.39,36.0,14.5
2025-03-21,0.0,5.46,33.0,15.0
2025-03-22,0.0,5.32,34.0,13.0
2025-03-23,0.0,5.38,35.0,14.0
2025-03-24,0.0,5.1,36.0,14.0
2025-03-25,0.0,5.65,34.0,15.0
2025-03-26,0.0,4.75,35.0,15.0
2025-03-27,0.0,8.6,34.0,14.0
2025-03-28,0.0,5.7,35.0,15.0
2025-03-29,0.0,8.87,35.0,16.0
2025-03-30,0.0,5.32,36.0,15.0
2025-03-31,0.0,,36.0,15.0
2025-04-01,0.0,3.2,36.0,16.0
2025-04-02,0.0,8.1,36.0,19.0
2025-04-03,0.0,9.1,34.0,17.0
2025-04-04,0.0,5.3,33.0,17.0
2025-04-05,0.0,6.45,30.0,14.0
2025-04-06,0.0,6.64,33.0,13.0
2025-04-07,0.0,6.1,35.0,17.0
2025-04-08,0.0,7.91,37.0,17.0
2025-04-09,0.0,7.2,35.0,16.0
2025-04-10,0.0,7.25,37.0,16.0
2025-04-11,0.0,8.21,36.0,17.0
2025-04-12,0.0,6.93,37.0,17.0
2025-04-13,0.0,6.51,36.0,19.0
2025-04-14,0.0,5.05,38.0,19.0
2025-04-15,0.0,5.9,38.0,22.0
2025-04-16,0.0,5.15,35.0,22.0
2025-04-17,0.0,5.25,36.0,20.0
2025-04-18,0.0,6.0,35.0,21.0
2025-04-19,0.0,7.65,36.0,22.0
2025-04-20,0.0,8.95,36.0,15.5
2025-04-21,0.0,6.65,36.0,17.0
2025-04-22,0.0,7.9,35.0,18.0
2025-04-23,0.0,10.1,36.0,17.0
2025-04-24,0.0,8.3,36.0,17.0
2025-04-25,0.0,4.4,35.0,18.0
2025-04-26,0.0,9.44,36.0,17.0
2025-04-27,0.0,3.86,34.0,19.0
2025-04-28,0.0,5.1,36.0,20.0
2025-04-29,0.0,8.4,36.0,18.0
2025-04-30,0.0,7.8,39.0,17.0
2025-05-01,0.0,8.12,38.0,17.0
2025-05-02,0.0,7.64,39.0,18.0
2025-05-03,0.0,10.16,37.0,19.0
2025-05-04,0.0,8.24,35.5,17.0
2025-05-05,0.0,6.06,33.0,17.5
2025-05-06,0.0,8.6,38.0,18.0
2025-05-07,0.0,4.3,36.0,17.0
2025-05-08,0.0,11.7,38.0,17.0
2025-05-09,0.0,10.4,37.0,18.0
2025-05-10,0.0,9.5,38.0,21.0
2025-05-11,0.0,5.5,37.0,22.0
2025-05-12,0.0,9.15,39.0,24.0
2025-05-13,0.0,7.43,38.0,19.0
2025-05-14,0.0,6.32,38.0,20.0
2025-05-15,0.0,8.85,39.0,19.5
2025-05-16,0.0,8.45,39.0,22.0
2025-05-17,0.0,8.37,41.0,23.0
2025-05-18,0.0,0.58,39.0,22.0
2025-05-19,0.0,19.25,38.0,19.0
2025-05-20,0.0,7.06,37.5,23.0
2025-05-21,0.0,9.09,41.5,19.5
2025-05-22,0.0,7.75,39.0,19.5
2025-05-23,0.0,9.65,40.0,20.0
2025-05-24,0.0,7.15,40.0,21.0
2025-05-25,0.0,8.9,38.0,26.0
2025-05-26,0.0,8.7,39.0,24.0
2025-05-27,0.0,8.65,40.0,22.0
2025-05-28,0.0,8.35,40.0,23.0
2025-05-29,0.0,11.3,40.0,22.0
2025-05-30,2.0,6.66,34.0,24.0
2025-05-31,0.0,,30.0,25.0
2025-06-01,0.0,3.14,37.0,25.0
2025-06-02,0.0,5.99,38.0,25.0
2025-06-03,0.0,9.41,38.0,23.5
